"QID","eidrparty"
"Q3492475","10.5237/1A9E-8435"
"Q4044503","10.5237/E834-2FA6"
"Q4127371","10.5237/2E55-B99B"
"Q4241295","10.5237/171A-2B8D"
"Q4341103","10.5237/E785-01B9"
"Q4504080","10.5237/EECB-C0A2"
"Q4920477","10.5237/3A37-682D"
"Q5434191","10.5237/35DF-F568"
"Q5641909","10.5237/C362-2065"
"Q5672652","10.5237/223B-5218"
"Q5674985","10.5237/A8B7-49B5"
"Q5839228","10.5237/8B14-DFE3"
"Q6024105","10.5237/CFCA-D840"
"Q6033386","10.5237/62CF-7D09"
"Q6062591","10.5237/D4B0-DB4E"
"Q6071133","10.5237/4D2D-0CAB"
"Q6407309","10.5237/52A2-6EEC"
"Q7050801","10.5237/093F-ED30"
"Q7359543","10.5237/B1DE-88C2"
"Q7367039","10.5237/B973-EF84"
"Q7560946","10.5237/1B0C-522B"
"Q7634417","10.5237/37B2-CB69"
"Q10453214","10.5237/450A-F8F5"
"Q10495171","10.5237/3EA2-A309"
"Q10512753","10.5237/356F-0A59"
"Q10539697","10.5237/C776-485F"
"Q10581511","10.5237/2906-011D"
"Q11352124","10.5237/FAD9-4C99"
"Q13157864","10.5237/E003-59BB"
"Q15993918","10.5237/35F9-FAB2"
"Q17063093","10.5237/5641-3D4D"
"Q17145684","10.5237/1BF6-528B"
"Q18603738","10.5237/780A-6EE3"
"Q19295678","10.5237/BD09-5B9C"
"Q19612500","10.5237/3D26-65C1"
"Q19903792","10.5237/BDDD-1EC5"
"Q20226339","10.5237/BDF7-3DA5"
"Q20226881","10.5237/E02A-D2BA"
"Q21087048","10.5237/745B-0F25"
"Q77976354","10.5237/B5E9-D934"
"Q78156573","10.5237/71FB-1A8B"
"Q78156601","10.5237/D793-C10B"
"Q78157042","10.5237/BB3C-62AC"
"Q78158192","10.5237/8532-04F3"
"Q78346337","10.5237/FFC9-B837"
"Q78790512","10.5237/D864-61A8"
"Q79586112","10.5237/AED5-3B97"
"Q80176500","10.5237/1CB4-C928"
"Q89099168","10.5237/42A3-1F2C"
"Q89197376","10.5237/5553-A2AE"
"Q90141683","10.5237/DE64-1E3C"
"Q93437477","10.5237/125A-F3B6"
"Q94631988","10.5237/CB33-C96D"
"Q96215903","10.5237/D7B4-67A8"
"Q98210833","10.5237/7996-2827"
"Q98215498","10.5237/3CF7-48EA"
"Q100706048","10.5237/9A70-C4CE"
"Q101188727","10.5237/1BE4-3098"
"Q101208746","10.5237/A2B3-6FC6"
"Q102036083","10.5237/E5EF-67D1"
"Q107111800","10.5237/CF6A-F0FB"
"Q107585906","10.5237/060A-0F01"
"Q107600407","10.5237/5FEA-8972"
